id,name,year,category,representation,original_authors,primary_publication,implementation,implementation_relationship,code_license,weights_terms,commonly_evaluated_on,verification_status,last_checked,discovery_sources,notes
libpointmatcher,libpointmatcher,2013,point-cloud registration,modular ICP variants,See primary publication,https://doi.org/10.1007/s10514-013-9327-2,https://github.com/ethz-asl/libpointmatcher,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
lidar-mos,LiDAR-MOS,2021,moving-object segmentation,range-image residuals and semantic segmentation,See primary publication,https://www.ipb.uni-bonn.de/wp-content/papercite-data/pdf/chen2021ral.pdf,https://github.com/PRBonn/LiDAR-MOS,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
linefit-ground-segmentation,LineFit Ground Segmentation,2017,ground segmentation,radial line fitting,See primary publication,https://ieeexplore.ieee.org/document/7989591,https://github.com/lorenwel/linefit_ground_segmentation,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
lio-sam,LIO-SAM,2020,LiDAR-inertial odometry,"factor graph, LiDAR and IMU",Tixiao Shan et al.,https://doi.org/10.1109/IROS45743.2020.9341176,https://github.com/TixiaoShan/LIO-SAM,official_or_author_maintained,BSD-3-Clause,verify separately,,verified,2026-08-03,,Author-maintained implementation; review sensor assumptions and dependencies.
loam,LOAM,2014,LiDAR odometry and mapping,feature-based 3D LiDAR,Ji Zhang and Sanjiv Singh,https://doi.org/10.15607/RSS.2014.X.007,https://github.com/laboshinl/loam_velodyne,community_reimplementation,Verify repository,verify separately,,verified,2026-08-03,,"The linked repository is a community implementation, not the original authors’ official code."
maskpoint,MaskPoint,2022,Self-supervised 3D learning,masked point discrimination,Renrui Zhang et al.,https://doi.org/10.1007/978-3-031-20086-1_13,https://github.com/WisconsinAIVision/MaskPoint,official_or_author_maintained,Verify repository,verify separately,,partial,2026-08-03,,
minkowski-engine,MinkowskiEngine,2019,Sparse 3D deep learning,generalized sparse convolution,Christopher Choy et al.,https://doi.org/10.1109/CVPR.2019.00325,https://github.com/NVIDIA/MinkowskiEngine,official_framework,MIT,verify separately,,verified,2026-08-03,,Research framework rather than a single task method; downstream model licenses and weights differ.
mola,MOLA,2024,SLAM and localization framework,"modular LiDAR odometry, SLAM, and georeferencing",See primary publication,https://github.com/MOLAorg/mola,https://github.com/MOLAorg/mola,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
opencalib,OpenCalib,2022,sensor calibration,multi-sensor calibration toolbox,See primary publication,https://arxiv.org/abs/2205.14087,https://github.com/PJLab-ADG/SensorsCalibration,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
overlapnet,OverlapNet,2020,place recognition and loop closure,range-image overlap prediction,See primary publication,https://www.ipb.uni-bonn.de/wp-content/papercite-data/pdf/chen2020rss.pdf,https://github.com/PRBonn/OverlapNet,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
patchwork-plusplus,Patchwork++,2022,ground segmentation,robust region-wise plane fitting,See primary publication,https://arxiv.org/abs/2207.11919,https://github.com/url-kaist/patchwork-plusplus,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
patchwork,Patchwork,2021,ground segmentation,region-wise plane fitting,See primary publication,https://arxiv.org/abs/2108.05560,https://github.com/LimHyungTae/patchwork,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
plane-seg,Plane Seg,2017,ground segmentation,plane fitting for LiDAR,See primary publication,https://github.com/lorenwel/plane_seg,https://github.com/lorenwel/plane_seg,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
point-bert,Point-BERT,2022,Self-supervised 3D learning,masked point-token modeling,Xumin Yu et al.,https://doi.org/10.1109/CVPR52688.2022.01942,https://github.com/lulutang0608/Point-BERT,official_or_author_maintained,MIT,verify separately,ModelNet40 | ScanObjectNN | ShapeNetPart,verified,2026-08-03,,
point-mae,Point-MAE,2022,Self-supervised 3D learning,masked autoencoding for point clouds,Yatian Pang et al.,https://doi.org/10.1007/978-3-031-19821-2_28,https://github.com/Pang-Yatian/Point-MAE,official_or_author_maintained,MIT,verify separately,ModelNet40 | ScanObjectNN | ShapeNetPart,verified,2026-08-03,,
point-transformer,Point Transformer,2021,3D representation learning,vector attention over point neighborhoods,Hengshuang Zhao et al.,https://doi.org/10.1109/ICCV48922.2021.01557,https://github.com/POSTECH-CVLab/point-transformer,official_or_author_maintained,MIT,verify separately,S3DIS | ModelNet40 | ShapeNetPart,verified,2026-08-03,,
pointnet,PointNet,2017,3D representation learning,"raw points, shared MLP, symmetric aggregation",Charles R. Qi et al.,https://doi.org/10.1109/CVPR.2017.16,https://github.com/charlesq34/pointnet,official_or_author_maintained,MIT,verify separately,ModelNet40 | ShapeNet | S3DIS,verified,2026-08-03,,
pointnet2,PointNet++,2017,3D representation learning,hierarchical point neighborhoods,Charles R. Qi et al.,https://doi.org/10.48550/arXiv.1706.02413,https://github.com/charlesq34/pointnet2,official_or_author_maintained,MIT,verify separately,ModelNet40 | ShapeNet | S3DIS,verified,2026-08-03,,
pointnext,PointNeXt,2022,3D representation learning,modernized PointNet++ design,Guocheng Qian et al.,https://doi.org/10.48550/arXiv.2206.04670,https://github.com/guochengqian/PointNeXt,official_or_author_maintained,MIT,verify separately,ScanObjectNN | ModelNet40 | S3DIS,verified,2026-08-03,,
pointpillars,PointPillars,2019,3D object detection,pillarized point cloud pseudo-image,Alex H. Lang et al.,https://doi.org/10.1109/CVPR.2019.01298,https://github.com/open-mmlab/OpenPCDet,framework_integration,Apache-2.0 for OpenPCDet,verify separately,KITTI,verified,2026-08-03,,"The linked codebase is a widely used framework implementation, not the original authors’ repository."
polarnet,PolarNet,2020,LiDAR semantic segmentation,polar bird’s-eye-view grid,Yang Zhang et al.,https://doi.org/10.1109/CVPR42600.2020.00962,https://github.com/edwardzhou130/PolarSeg,official_or_author_maintained,MIT,verify separately,SemanticKITTI,verified,2026-08-03,,
pv-rcnn,PV-RCNN,2020,3D object detection,point-voxel feature aggregation,Shaoshuai Shi et al.,https://doi.org/10.1109/CVPR42600.2020.01056,https://github.com/open-mmlab/OpenPCDet,official_or_framework_integration,Apache-2.0,verify separately,KITTI | Waymo,verified,2026-08-03,,
randlanet,RandLA-Net,2020,3D semantic segmentation,random sampling and local feature aggregation,Qingyong Hu et al.,https://doi.org/10.1109/CVPR42600.2020.01117,https://github.com/QingyongHu/RandLA-Net,official_or_author_maintained,MIT,verify separately,Semantic3D | SemanticKITTI | S3DIS | Toronto-3D,verified,2026-08-03,,
rangenetpp,RangeNet++,2019,LiDAR semantic segmentation,range image projection and post-processing,Andres Milioto et al.,https://doi.org/10.1109/IROS40897.2019.8967762,https://github.com/PRBonn/lidar-bonnetal,official_or_author_maintained,MIT,verify separately,SemanticKITTI,verified,2026-08-03,,
removert,Removert,2020,mapping and dynamic-object removal,multi-resolution range images,See primary publication,https://ras.papercept.net/proceedings/IROS20/1700.pdf,https://github.com/irapkaist/removert,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
resple,RESPLE,2025,LiDAR odometry,recursive spline estimation,See primary publication,https://arxiv.org/abs/2504.11580,https://github.com/ASIG-X/RESPLE,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,"Discovery-expanded record. Publication and source-code links were cross-checked against the authors’ project materials; code, datasets, and dependency licenses must still be reviewed before reuse."
salsanext,SalsaNext,2020,LiDAR semantic segmentation,uncertainty-aware range image CNN,"Tiago Cortinhal, George Tzelepis, and Eren Erdal Aksoy",https://doi.org/10.1007/978-3-030-58529-7_12,https://github.com/TiagoCortinhal/SalsaNext,official_or_author_maintained,MIT,verify separately,SemanticKITTI,verified,2026-08-03,,
simpleicp,simpleICP,2019,point-cloud registration,point-to-point iterative closest point,See primary publication,https://github.com/pglira/simpleICP,https://github.com/pglira/simpleICP,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
sphereformer,SphereFormer,2023,LiDAR semantic segmentation,spherical transformer windows,Xin Lai et al.,https://doi.org/10.1109/CVPR52729.2023.00342,https://github.com/dvlab-research/SphereFormer,official_or_author_maintained,Apache-2.0,verify separately,SemanticKITTI | nuScenes | Waymo,verified,2026-08-03,,
spvnas,SPVNAS / SPVCNN,2020,Efficient 3D perception,sparse point-voxel convolution,Haotian Tang et al.,https://doi.org/10.1007/978-3-030-58586-0_39,https://github.com/mit-han-lab/spvnas,official_or_author_maintained,MIT,verify separately,SemanticKITTI | KITTI,verified,2026-08-03,,
suma-plusplus,SuMa++,2019,semantic SLAM,surfel mapping with semantic labels,See primary publication,https://www.ipb.uni-bonn.de/wp-content/papercite-data/pdf/chen2019iros.pdf,https://github.com/PRBonn/semantic_suma,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
superpoint-graph,Superpoint Graph,2018,semantic segmentation,superpoint partition and graph neural network,See primary publication,https://arxiv.org/abs/1711.09869,https://github.com/loicland/superpoint_graph,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
superpoint-transformer,Superpoint Transformer,2023,semantic segmentation,hierarchical superpoints and transformers,See primary publication,https://arxiv.org/abs/2306.08045,https://github.com/drprojects/superpoint_transformer,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
urban-road-filter,urban_road_filter,2022,road and sidewalk detection,geometric urban road filtering,See primary publication,https://doi.org/10.3390/s22010194,https://github.com/jkk-research/urban_road_filter,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
wysiwyg-3d-detection,WYSIWYG 3D Detection,2020,3D object detection,visibility-aware point-cloud detection,See primary publication,https://arxiv.org/abs/1912.04986,https://github.com/peiyunh/WYSIWYG,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
