id,name,category,subcategory,official_url,repository_url,summary,source_collections,legal_note,verification_status,last_checked
ouster,Ouster,manufacturer,manufacturer,https://ouster.com/,https://github.com/ouster-lidar,Digital spinning LiDAR manufacturer and developer ecosystem.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
pcx,Pcx,tool,tool,https://github.com/keijiro/Pcx,https://github.com/keijiro/Pcx,Unity point-cloud importer and renderer.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
pepperl-plusfuchs,Pepperl+Fuchs,manufacturer,manufacturer,https://www.pepperl-fuchs.com/,https://github.com/PepperlFuchs,Industrial automation sensors including laser scanners.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
photogrammetry-importer,Photogrammetry Importer,tool,tool,https://github.com/SBCV/Blender-Addon-Photogrammetry-Importer,https://github.com/SBCV/Blender-Addon-Photogrammetry-Importer,Blender add-on for importing photogrammetry reconstruction outputs.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
pioneer,Pioneer,manufacturer,manufacturer,http://autonomousdriving.pioneer/en/3d-lidar/,,MEMS mirror-based automotive LiDAR development.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
point-cloud-library-pcl,Point Cloud Library (PCL),library,library,https://pointclouds.org/,https://github.com/PointCloudLibrary/pcl,"C++ library for point-cloud filtering, registration, segmentation, features, and visualization.",szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
pointcloudprinter,Pointcloudprinter,tool,tool,https://github.com/mattshax/pointcloudprinter,https://github.com/mattshax/pointcloudprinter,Converts aerial LiDAR point clouds into printable meshes.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
pointcloudset,pointcloudset,library,library,https://virtual-vehicle.github.io/pointcloudset/,https://github.com/virtual-vehicle/pointcloudset,Python tools for analyzing sequences of point clouds.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
preact,PreAct,manufacturer,manufacturer,https://www.preact-tech.com/,,Near-field sensing and automotive safety systems.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
pyntcloud,pyntcloud,library,library,https://pyntcloud.readthedocs.io/,https://github.com/daavoo/pyntcloud,Python point-cloud processing on the scientific Python stack.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
pytorch-geometric,PyTorch Geometric,library,library,https://pytorch-geometric.readthedocs.io/,https://github.com/pyg-team/pytorch_geometric,"Geometric deep-learning library for graphs, point clouds, and irregular data.",szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
pytorch3d,PyTorch3D,library,library,https://pytorch3d.org/,https://github.com/facebookresearch/pytorch3d,Differentiable 3D operators and rendering components for PyTorch.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
pyvista,PyVista,library,library,https://docs.pyvista.org/,https://github.com/pyvista/pyvista,"Python interface for 3D plotting, meshes, and VTK-based analysis.",szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
quanergy,Quanergy,manufacturer,manufacturer,https://quanergy.com/,,LiDAR sensing and perception systems; current corporate status should be verified.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
rerun,Rerun,tool,tool,https://rerun.io/,https://github.com/rerun-io/rerun,Time-aware multimodal data logging and visualization.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
riegl,RIEGL,manufacturer,manufacturer,https://www.riegl.com/,https://github.com/Riegl,"Airborne, terrestrial, mobile, and industrial laser scanning systems.",szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
robosense,RoboSense,manufacturer,manufacturer,https://www.robosense.ai/,https://github.com/RoboSense-LiDAR,LiDAR sensors and perception products for automotive and robotics.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
semantic-segmentation-editor,Semantic Segmentation Editor,tool,tool,https://github.com/Hitachi-Automotive-And-Industry-Lab/semantic-segmentation-editor,https://github.com/Hitachi-Automotive-And-Industry-Lab/semantic-segmentation-editor,Point-cloud and image semantic annotation tool.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
sick,SICK,manufacturer,manufacturer,https://www.sick.com/,https://github.com/SICKAG,Industrial sensing and automation company with 2D and 3D laser scanners.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
svl-simulator,SVL Simulator,simulator,simulator,https://www.svlsimulator.com/,https://github.com/lgsvl/simulator,Former Unity-based autonomous-driving simulator; upstream development was sunset.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
velodyne,Velodyne,manufacturer,manufacturer,https://velodynelidar.com/,https://github.com/ros-drivers/velodyne,Mechanical and solid-state LiDAR product lineage; now part of Ouster.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
xenomatix,XenomatiX,manufacturer,manufacturer,https://www.xenomatix.com/,,Multi-beam solid-state LiDAR systems.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
