id,name,year,dimensions,environments,sensors,platforms,tasks,original_contributors,official_page,primary_publication,terms_or_license,access_class,account_required,agreement_required,commercial_use,redistribution,license_name,verification_status,last_checked,discovery_sources,adjacent_non_lidar,notes
cirrus-dataset,Cirrus Dataset,2020,3D,outdoor | road,Luminar Hydra LiDAR | cameras,vehicle,long-range 3D detection | non-uniform LiDAR research,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://developer.volvocars.com/open-datasets/cirrus/,https://developer.volvocars.com/open-datasets/cirrus/,https://developer.volvocars.com/open-datasets/cirrus/,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,szenergy/awesome-lidar,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
cns-dataset,CNS Dataset,2025,3D,synthetic | outdoor | urban,CARLA simulated LiDAR,simulator,place recognition | synthetic data,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://github.com/Hyunho111/CNS_dataset,https://github.com/Hyunho111/CNS_dataset,https://github.com/Hyunho111/CNS_dataset,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
complex-urban-dataset,Complex Urban Dataset,2019,2D | 3D,outdoor | urban,2x Velodyne VLP-16C | 2D LiDAR | stereo camera | GPS/IMU,vehicle,odometry | SLAM | mapping,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://sites.google.com/view/complex-urban-dataset,https://sites.google.com/view/complex-urban-dataset,https://sites.google.com/view/complex-urban-dataset,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
conslam-dataset,ConSLAM Dataset,2023,3D,indoor | outdoor | construction,Velodyne VLP-16C | cameras | IMU,ground robot,SLAM | construction mapping,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://github.com/mac137/ConSLAM,https://github.com/mac137/ConSLAM,https://github.com/mac137/ConSLAM,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
dales,DALES,2020,3D,outdoor | aerial | urban,airborne LiDAR,,semantic segmentation | point classification,"Nina Varney, Vijayan K. Asari, and Quinn Graehling",https://udayton.edu/centers/vision-lab/index.php,https://doi.org/10.1109/CVPRW50498.2020.00138,https://udayton.edu/centers/vision-lab/index.php,OPEN_DIRECT,False,False,verify,license_controlled,Provider terms; verify,partial,2026-08-03,,False,Use the University of Dayton project source or the source named by the paper. Verify current access location and license before automated use.
diter-plusplus-dataset,DiTer++ Dataset,2025,3D,indoor | outdoor,Ouster OS1-32/64/128 | RGB-D | thermal | IMU | contact sensors,legged and mobile robots,SLAM | multi-modal mapping | robotics,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://sites.google.com/view/diter-plusplus/,https://sites.google.com/view/diter-plusplus/,https://sites.google.com/view/diter-plusplus/,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
durlar-dataset,DurLAR Dataset,2021,3D,outdoor | urban,2x Ouster OS1-128 | cameras,vehicle,depth estimation | multi-LiDAR perception,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://github.com/l1997i/DurLAR,https://github.com/l1997i/DurLAR,https://github.com/l1997i/DurLAR,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
enwide-dataset,ENWIDE Dataset,2024,3D,indoor | outdoor,Ouster OS0-128 | cameras | IMU,mobile platform,odometry | wide-FOV mapping,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://projects.asl.ethz.ch/datasets/doku.php?id=enwide,https://projects.asl.ethz.ch/datasets/doku.php?id=enwide,https://projects.asl.ethz.ch/datasets/doku.php?id=enwide,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
eu-long-term-robocar-dataset,EU Long-term Robocar Dataset,2021,3D,outdoor | urban | suburban,2x Velodyne HDL-32E | heterogeneous sensors,vehicle,odometry | localization | long-term autonomy,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://epan-utbm.github.io/utbm_robocar_dataset/,https://epan-utbm.github.io/utbm_robocar_dataset/,https://epan-utbm.github.io/utbm_robocar_dataset/,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
ford-av-dataset,Ford Autonomous Vehicle Dataset,2020,3D,outdoor | urban | seasonal,4x Velodyne HDL-32E | cameras | GNSS/INS,vehicle,odometry | localization | multi-agent mapping,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://avdata.ford.com/,https://avdata.ford.com/,https://avdata.ford.com/,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
ford-campus-vision-and-lidar-dataset,Ford Campus Vision and LiDAR Dataset,2011,3D,outdoor | campus | urban,Velodyne HDL-64E | Riegl LMS-Q120 | cameras | GPS/INS,vehicle,odometry | SLAM | loop closure,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://robots.engin.umich.edu/SoftwareData/InfoFord,https://robots.engin.umich.edu/SoftwareData/InfoFord,https://robots.engin.umich.edu/SoftwareData/InfoFord,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
fusionportable-dataset,FusionPortable Dataset,2022,3D,indoor | outdoor,Ouster OS1-128 | cameras | IMU,portable,odometry | SLAM | multi-platform mapping,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://fusionportable.github.io/dataset/fusionportable/,https://fusionportable.github.io/dataset/fusionportable/,https://fusionportable.github.io/dataset/fusionportable/,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
fusionportablev2-dataset,FusionPortableV2 Dataset,2024,3D,indoor | outdoor | large-scale,Ouster OS1-128 | cameras | IMU,portable,odometry | SLAM | multi-platform mapping,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://fusionportable.github.io/dataset/fusionportable_v2/,https://fusionportable.github.io/dataset/fusionportable_v2/,https://fusionportable.github.io/dataset/fusionportable_v2/,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
geode-dataset,GEODE Dataset,2024,3D,indoor | outdoor,Velodyne VLP-16C | Ouster OS1-64 | Livox Avia,multi-platform,odometry | SLAM | geometrically degenerate environments,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://github.com/PengYu-Team/GEODE_dataset,https://github.com/PengYu-Team/GEODE_dataset,https://github.com/PengYu-Team/GEODE_dataset,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
ground-challenge-dataset,Ground-Challenge Dataset,2023,3D,indoor,Velodyne VLP-16C | RGB-D camera | IMU | wheel odometry,UGV,odometry | SLAM | corner-case robustness,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://github.com/sjtuyinjie/Ground-Challenge,https://github.com/sjtuyinjie/Ground-Challenge,https://github.com/sjtuyinjie/Ground-Challenge,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
helimos-dataset,HeLiMOS Dataset,2024,3D,outdoor | urban,Ouster OS2-128 | Velodyne VLP-16C | Livox Avia | Aeva Aeries II,vehicle,moving-object segmentation | semantic segmentation,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://sites.google.com/view/helimos,https://sites.google.com/view/helimos,https://sites.google.com/view/helimos,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
helipr-dataset,HeLiPR Dataset,2023,3D,outdoor | urban,Ouster OS2-128 | Velodyne VLP-16 | Livox Avia | Aeva Aeries II,vehicle,odometry | place recognition | heterogeneous LiDAR research,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://sites.google.com/view/heliprdataset,https://sites.google.com/view/heliprdataset,https://sites.google.com/view/heliprdataset,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
hilti-oxford-slam-challenge-2021-dataset,Hilti-Oxford SLAM Challenge 2021 Dataset,2021,3D,indoor | outdoor | construction,Ouster OS0-64 | Livox MID-70 | cameras | IMU,handheld,odometry | SLAM | construction mapping,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://hilti-challenge.com/dataset-2021.html,https://hilti-challenge.com/dataset-2021.html,https://hilti-challenge.com/dataset-2021.html,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
hilti-oxford-slam-challenge-2022-dataset,Hilti-Oxford SLAM Challenge 2022 Dataset,2022,3D,indoor | outdoor | construction,Hesai PandarXT-32 | cameras | IMU,handheld,odometry | SLAM | construction mapping,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://hilti-challenge.com/dataset-2022.html,https://hilti-challenge.com/dataset-2022.html,https://hilti-challenge.com/dataset-2022.html,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
hilti-oxford-slam-challenge-2023-dataset,Hilti-Oxford SLAM Challenge 2023 Dataset,2023,3D,indoor | outdoor | construction,Hesai PandarXT-32 | RoboSense BPearl | cameras | IMU,handheld,odometry | SLAM | construction mapping,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://hilti-challenge.com/dataset-2023.html,https://hilti-challenge.com/dataset-2023.html,https://hilti-challenge.com/dataset-2023.html,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
hk-mems-lidar-dataset,HK MEMS LiDAR Dataset,2024,3D,outdoor | urban,Ouster OS1-32 | RoboSense M1 | RealSense L515,vehicle,odometry | solid-state LiDAR research,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://github.com/RuanJY/HK_MEMS_Dataset,https://github.com/RuanJY/HK_MEMS_Dataset,https://github.com/RuanJY/HK_MEMS_Dataset,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
k-lane,K-Lane,2022,3D,outdoor | road,LiDAR,,LiDAR lane detection,"Dong-Hee Paek, Seung-Hyun Kong, and Kevin Tirta Wijaya; KAIST",https://github.com/kaist-avelab/K-Lane,https://openaccess.thecvf.com/content/CVPR2022W/WAD/html/Paek_K-Lane_Lidar_Lane_Dataset_and_Benchmark_for_Urban_Roads_and_CVPRW_2022_paper.html,https://github.com/kaist-avelab/K-Lane,OPEN_DIRECT,False,False,research_use_verify,license_controlled,Repository/provider terms,verified,2026-08-03,,False,Specialized benchmark for lane detection from LiDAR. Dataset and code conditions should be checked separately.
kitti,KITTI Vision Benchmark Suite,2012,3D,outdoor | urban | road,Velodyne HDL-64E | cameras | GPS/IMU,,3D detection | tracking | odometry | road estimation,"Andreas Geiger, Philip Lenz, Christoph Stiller, and Raquel Urtasun",https://www.cvlibs.net/datasets/kitti/,https://doi.org/10.1109/CVPR.2012.6248074,https://www.cvlibs.net/datasets/kitti/eval_object.php?obj_benchmark=3d,OPEN_DIRECT,False,False,research_use_verify,restricted_or_unconfirmed,KITTI provider terms,verified,2026-08-03,,False,Download components separately from the official KITTI pages. Some downstream benchmarks add separate labels and terms.
kitti360,KITTI-360,2022,3D,outdoor | urban | road,3D LiDAR | stereo cameras | fisheye cameras | GPS/IMU,,semantic segmentation | 3D reconstruction | localization | novel view synthesis,"Yiyi Liao, Jun Xie, and Andreas Geiger",https://www.cvlibs.net/datasets/kitti-360/,https://doi.org/10.1109/TPAMI.2022.3179506,https://www.cvlibs.net/datasets/kitti-360/download.php,OPEN_DIRECT,False,False,noncommercial_research,restricted,KITTI-360 terms,verified,2026-08-03,,False,Use the official download scripts/pages and review per-component terms.
libre-lidar-benchmarking-and-reference-dataset,LIBRE LiDAR Benchmarking and Reference Dataset,2020,3D,indoor | outdoor | urban | controlled,multiple spinning LiDAR models | cameras | IMU | GNSS,vehicle,sensor benchmarking | odometry | adverse-weather perception,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://sites.google.com/g.sp.m.is.nagoya-u.ac.jp/libre-dataset,https://sites.google.com/g.sp.m.is.nagoya-u.ac.jp/libre-dataset,https://sites.google.com/g.sp.m.is.nagoya-u.ac.jp/libre-dataset,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
lidar-degeneracy-datasets,LiDAR Degeneracy Datasets,2024,3D,indoor | outdoor | degenerate geometry,Ouster OS0-128 | IMU,mobile robot,odometry | degeneracy detection | SLAM robustness,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://github.com/ntnu-arl/lidar_degeneracy_datasets,https://github.com/ntnu-arl/lidar_degeneracy_datasets,https://github.com/ntnu-arl/lidar_degeneracy_datasets,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
lisu-dataset,LiSu Dataset,2025,3D,synthetic | outdoor | urban,CARLA simulated LiDAR,simulator,surface normal estimation | synthetic data,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://github.com/malicd/LiSu,https://github.com/malicd/LiSu,https://github.com/malicd/LiSu,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
livox-simulation-dataset,Livox Simulation Dataset,2021,3D,synthetic | outdoor | urban,Livox Horizon | Livox Tele | simulated solid-state LiDAR,simulator,3D detection | semantic segmentation | simulation,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://www.livoxtech.com/simu-dataset,https://www.livoxtech.com/simu-dataset,https://www.livoxtech.com/simu-dataset,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
lyft-level-5-prediction-and-perception-dataset,Lyft Level 5 Prediction and Perception Dataset,2019,3D,outdoor | urban | road,automotive LiDAR | cameras,vehicle,3D detection | prediction | autonomous driving,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://level5.lyft.com/dataset/,https://level5.lyft.com/dataset/,https://level5.lyft.com/dataset/,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,szenergy/awesome-lidar,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification. Provider availability and current access route require re-verification.
m2dgr-dataset,M2DGR Dataset,2021,3D,outdoor | urban,Velodyne VLP-32C | cameras | GNSS/IMU,ground robot,odometry | SLAM | multi-sensor fusion,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://github.com/SJTU-ViSYS/M2DGR,https://github.com/SJTU-ViSYS/M2DGR,https://github.com/SJTU-ViSYS/M2DGR,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
m2dgr-plus-dataset,M2DGR-Plus Dataset,2024,3D,indoor | outdoor,RoboSense 16-channel LiDAR | cameras | IMU,ground robot,odometry | SLAM | multi-sensor fusion,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://github.com/SJTU-ViSYS/M2DGR-plus,https://github.com/SJTU-ViSYS/M2DGR-plus,https://github.com/SJTU-ViSYS/M2DGR-plus,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
ma-lio-city-dataset,MA-LIO City Dataset,2023,3D,outdoor | urban,Ouster OS2-128 | Livox Tele | Livox Avia,vehicle,odometry | multi-LiDAR fusion,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://github.com/minwoo0611/MA-LIO,https://github.com/minwoo0611/MA-LIO,https://github.com/minwoo0611/MA-LIO,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
man-truckscenes,MAN TruckScenes,2024,3D,outdoor | road | logistics,4x Ouster OS0-64 | 2x Hesai Pandar64 | radars | cameras,truck,3D object detection | tracking | truck perception,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://brandportal.man/d/QSf8mPdU5Hgj,https://brandportal.man/d/QSf8mPdU5Hgj,https://brandportal.man/d/QSf8mPdU5Hgj,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
